,Temperature,Sound,Heartbeat,X1,Y1,Z1,X2,Y2,Z2,Classification,Feedback
940,-1.0,1.0,44.0,-1.0,-1.0,-1.0,1232.0,-7072.0,-15564.0,250.0,Fear
941,35.0,-1.0,44.0,816.0,-16560.0,-1728.0,-1.0,-1.0,-1.0,250.0,Fear
942,-1.0,1.0,44.0,-1.0,-1.0,-1.0,1232.0,-7136.0,-15724.0,250.0,Fear
943,36.0,-1.0,44.0,816.0,-16636.0,-1752.0,-1.0,-1.0,-1.0,250.0,Fear
944,36.0,1.0,68.0,904.0,-16600.0,-1748.0,1208.0,-7116.0,-15860.0,250.0,Sad
945,36.0,1.0,68.0,860.0,-16560.0,-1792.0,1216.0,-7092.0,-15756.0,250.0,Sad
946,36.0,1.0,68.0,780.0,-16700.0,-1764.0,1300.0,-7156.0,-15872.0,250.0,Sad
947,36.0,1.0,68.0,804.0,-16564.0,-1828.0,1232.0,-7096.0,-15740.0,250.0,Sad
948,36.0,1.0,68.0,840.0,-16564.0,-1840.0,1296.0,-7088.0,-15772.0,250.0,Sad
949,36.0,1.0,68.0,780.0,-16644.0,-1720.0,1240.0,-7028.0,-15872.0,250.0,Sad
950,36.0,1.0,68.0,876.0,-16540.0,-1712.0,1260.0,-7140.0,-15832.0,250.0,Sad
951,-1.0,1.0,68.0,-1.0,-1.0,-1.0,1176.0,-7112.0,-15624.0,250.0,Sad
952,36.0,1.0,68.0,864.0,-16592.0,-1680.0,1304.0,-7080.0,-15908.0,250.0,Sad
953,36.0,-1.0,68.0,880.0,-16656.0,-1868.0,-1.0,-1.0,-1.0,250.0,Sad
954,36.0,1.0,68.0,812.0,-16620.0,-1900.0,1216.0,-7116.0,-15880.0,250.0,Sad
955,36.0,-1.0,68.0,820.0,-16632.0,-1604.0,-1.0,-1.0,-1.0,250.0,Sad
956,-1.0,1.0,68.0,-1.0,-1.0,-1.0,1352.0,-7060.0,-15728.0,250.0,Sad
957,36.0,1.0,68.0,948.0,-16580.0,-1776.0,1324.0,-7128.0,-15716.0,250.0,Sad
958,-1.0,-1.0,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,250.0,Sad
959,36.0,1.0,68.0,724.0,-16548.0,-1792.0,1160.0,-7092.0,-15876.0,250.0,Sad
960,33.0,1.0,68.0,-1696.0,-16440.0,832.0,752.0,-7672.0,-15464.0,100.0,Happy
961,33.0,1.0,68.0,-1640.0,-16500.0,740.0,772.0,-7728.0,-15544.0,100.0,Happy
962,-1.0,1.0,68.0,-1.0,-1.0,-1.0,780.0,-7728.0,-15544.0,100.0,Happy
963,33.0,1.0,68.0,-1588.0,-16492.0,760.0,760.0,-7716.0,-15436.0,100.0,Happy
964,33.0,1.0,68.0,-1632.0,-16488.0,784.0,776.0,-7656.0,-15620.0,100.0,Happy
965,33.0,1.0,68.0,-1524.0,-16396.0,740.0,844.0,-7652.0,-15628.0,100.0,Happy
966,-1.0,1.0,52.0,-1.0,-1.0,-1.0,740.0,-7768.0,-15548.0,100.0,Happy
967,33.0,1.0,52.0,-1604.0,-16560.0,976.0,760.0,-7644.0,-15472.0,100.0,Happy
968,-1.0,1.0,52.0,-1.0,-1.0,-1.0,720.0,-7676.0,-15472.0,100.0,Happy
969,33.0,1.0,52.0,-1628.0,-16432.0,856.0,804.0,-7628.0,-15536.0,100.0,Happy
970,-1.0,-1.0,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,Happy
971,33.0,1.0,52.0,-1576.0,-16504.0,768.0,828.0,-7640.0,-15492.0,100.0,Happy
972,33.0,-1.0,52.0,-1596.0,-16440.0,956.0,-1.0,-1.0,-1.0,100.0,Happy
973,-1.0,1.0,52.0,-1.0,-1.0,-1.0,860.0,-7796.0,-15404.0,100.0,Happy
974,34.0,-1.0,52.0,-1544.0,-16564.0,752.0,-1.0,-1.0,-1.0,100.0,Happy
975,-1.0,1.0,52.0,-1.0,-1.0,-1.0,864.0,-7648.0,-15460.0,100.0,Happy
976,34.0,1.0,52.0,-1652.0,-16492.0,828.0,752.0,-7624.0,-15388.0,100.0,Happy
977,-1.0,-1.0,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,Happy
978,34.0,1.0,52.0,-1540.0,-16388.0,804.0,828.0,-7732.0,-15488.0,100.0,Happy
979,34.0,1.0,52.0,-1660.0,-16592.0,844.0,748.0,-7640.0,-15564.0,100.0,Happy
980,34.0,1.0,52.0,-1556.0,-16456.0,808.0,836.0,-7620.0,-15456.0,150.0,Happy
981,-1.0,1.0,52.0,-1.0,-1.0,-1.0,808.0,-7632.0,-15524.0,150.0,Happy
982,34.0,-1.0,52.0,-1568.0,-16476.0,756.0,-1.0,-1.0,-1.0,150.0,Happy
983,34.0,1.0,52.0,-1524.0,-16544.0,888.0,736.0,-7688.0,-15568.0,150.0,Happy
984,34.0,1.0,80.0,-1576.0,-16468.0,812.0,752.0,-7700.0,-15476.0,150.0,Happy
985,34.0,1.0,80.0,-1676.0,-16592.0,800.0,800.0,-7672.0,-15572.0,150.0,Happy
986,34.0,1.0,80.0,-1532.0,-16504.0,888.0,804.0,-7548.0,-15388.0,150.0,Happy
987,34.0,-1.0,80.0,-1496.0,-16532.0,752.0,-1.0,-1.0,-1.0,150.0,Happy
988,34.0,1.0,80.0,-1460.0,-16520.0,832.0,808.0,-7656.0,-15640.0,150.0,Happy
989,-1.0,-1.0,80.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,Happy
990,34.0,1.0,80.0,-1532.0,-16500.0,852.0,844.0,-7652.0,-15480.0,150.0,Happy
991,-1.0,1.0,80.0,-1.0,-1.0,-1.0,788.0,-7620.0,-15468.0,150.0,Happy
992,34.0,-1.0,80.0,-1612.0,-16504.0,760.0,-1.0,-1.0,-1.0,150.0,Happy
993,-1.0,1.0,80.0,-1.0,-1.0,-1.0,828.0,-7728.0,-15516.0,150.0,Happy
994,34.0,-1.0,80.0,-1548.0,-16496.0,760.0,-1.0,-1.0,-1.0,150.0,Angry
995,34.0,1.0,80.0,-1504.0,-16540.0,836.0,928.0,-7696.0,-15412.0,150.0,Angry
996,-1.0,-1.0,80.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,Angry
997,34.0,1.0,80.0,-1544.0,-16528.0,848.0,808.0,-7704.0,-15424.0,150.0,Angry
998,-1.0,-1.0,80.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,Angry
999,34.0,1.0,72.0,-1468.0,-16488.0,812.0,816.0,-7664.0,-15540.0,150.0,Angry
1000,34.0,1.0,72.0,-1548.0,-16528.0,840.0,792.0,-7676.0,-15456.0,200.0,Fear
1001,34.0,1.0,72.0,-1600.0,-16496.0,876.0,728.0,-7684.0,-15496.0,200.0,Fear
1002,-1.0,-1.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,Fear
1003,34.0,1.0,72.0,-1588.0,-16468.0,836.0,780.0,-7684.0,-15452.0,200.0,Fear
1004,-1.0,-1.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,Fear
1005,34.0,1.0,72.0,-1636.0,-16516.0,796.0,744.0,-7672.0,-15580.0,200.0,Fear
1006,34.0,1.0,72.0,-1576.0,-16516.0,864.0,808.0,-7640.0,-15548.0,200.0,Fear
1007,-1.0,1.0,72.0,-1.0,-1.0,-1.0,824.0,-7672.0,-15352.0,200.0,Fear
1008,34.0,1.0,72.0,-1576.0,-16524.0,784.0,768.0,-7684.0,-15420.0,200.0,Fear
1009,34.0,1.0,72.0,-1512.0,-16600.0,808.0,692.0,-7736.0,-15428.0,200.0,Fear
1010,-1.0,-1.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,200.0,Fear
1011,34.0,1.0,56.0,-1516.0,-16508.0,820.0,804.0,-7648.0,-15544.0,200.0,Fear
1012,34.0,1.0,56.0,-1544.0,-16560.0,796.0,696.0,-7560.0,-15336.0,200.0,Fear
1013,34.0,-1.0,56.0,-1628.0,-16424.0,664.0,-1.0,-1.0,-1.0,200.0,Fear
