Temperature,Sound,Heartbeat,X1,Y1,Z1,X2,Y2,Z2,Classification,Feedback
88,-1,1,56,-1,-1,-1,1208,-7420,-15748,100,Happy
89,33,1,56,-1392,-16512,-2224,1228,-7456,-15624,100,Happy
90,-1,1,56,-1,-1,-1,1244,-7464,-15592,100,Happy
91,33,1,56,-1284,-16400,-2200,1260,-7456,-15572,100,Happy
92,-1,-1,56,-1,-1,-1,-1,-1,-1,100,Happy
93,33,1,56,-1372,-16516,-2368,1204,-7540,-15648,100,Happy
94,33,1,56,-1224,-16548,-2432,1172,-7372,-15568,100,Happy
95,33,1,56,-1236,-16428,-2328,1224,-7336,-15616,100,Happy
96,33,1,56,-1200,-16484,-2312,1232,-7308,-15608,100,Happy
97,33,1,56,-956,-16524,-2408,1280,-7456,-15660,100,Happy
98,-1,1,56,-1,-1,-1,1184,-7360,-15592,100,Happy
99,33,-1,56,-1156,-16440,-2400,-1,-1,-1,100,Happy
100,-1,-1,56,-1,-1,-1,-1,-1,-1,150,Happy
101,33,1,56,-1440,-16472,-2552,1316,-7368,-15556,150,Happy
102,33,-1,56,-1452,-16408,-2324,-1,-1,-1,150,Happy
103,-1,1,56,-1,-1,-1,1168,-7396,-15620,150,Happy
104,-1,1,56,-1,-1,-1,1248,-7368,-15684,150,Happy
105,33,-1,56,-1400,-16408,-2468,-1,-1,-1,150,Happy
106,-1,1,56,-1,-1,-1,1284,-7372,-15720,150,Happy
107,33,-1,56,-1524,-16536,-2384,-1,-1,-1,150,Happy
108,-1,1,56,-1,-1,-1,1284,-7396,-15604,150,Happy
109,33,1,56,-1476,-16516,-2416,1384,-7432,-15692,150,Happy
110,-1,-1,56,-1,-1,-1,-1,-1,-1,150,Happy
111,33,1,56,-1372,-16408,-2336,1180,-7436,-15528,150,Angry
112,34,1,56,-1424,-16528,-2424,1244,-7476,-15700,150,Angry
113,-1,1,76,-1,-1,-1,1252,-7460,-15672,150,Angry
114,34,1,76,-1432,-16404,-2308,1228,-7368,-15616,150,Angry
115,34,1,76,-1364,-16472,-2332,1284,-7396,-15788,150,Angry
116,34,1,76,-1384,-16472,-2320,1172,-7372,-15664,150,Angry
117,34,1,76,-1408,-16488,-2420,1240,-7400,-15572,150,Fear
118,34,1,76,-1364,-16468,-2488,1144,-7424,-15544,150,Fear
119,34,1,76,-1372,-16444,-2324,1160,-7444,-15632,150,Fear
120,-1,-1,76,-1,-1,-1,-1,-1,-1,200,Fear
121,34,1,76,-1504,-16472,-2424,1224,-7480,-15712,200,Fear
122,-1,-1,76,-1,-1,-1,-1,-1,-1,200,Fear
123,34,1,76,-1356,-16452,-2472,1324,-7456,-15680,200,Fear
124,-1,-1,76,-1,-1,-1,-1,-1,-1,200,Fear
125,34,1,76,-1416,-16432,-2316,1236,-7380,-15588,200,Fear
126,-1,-1,76,-1,-1,-1,-1,-1,-1,200,Fear
127,34,1,76,-1428,-16468,-2328,1208,-7388,-15592,200,Fear
128,34,1,76,-1260,-16584,-2448,1260,-7448,-15648,200,Fear
129,-1,-1,76,-1,-1,-1,-1,-1,-1,200,Fear
130,-1,-1,76,-1,-1,-1,-1,-1,-1,200,Fear
131,34,1,76,-1512,-16428,-2388,1184,-7428,-15680,200,Fear
132,34,1,48,-1512,-16420,-2608,1264,-7372,-15556,200,Fear
133,34,1,48,-1956,-16408,-2280,1296,-7312,-15652,200,Sad
134,34,1,48,-1632,-16360,-2308,1340,-7376,-15556,200,Sad
135,34,1,48,-680,-16216,-2404,1252,-7364,-15736,200,Sad
136,34,1,48,-644,-16680,-2344,1124,-7352,-15648,200,Sad
137,34,1,48,-1564,-16532,-2352,1236,-7424,-15508,200,Sad
138,-1,1,48,-1,-1,-1,1228,-7448,-15844,200,Sad
139,34,1,48,-1408,-16532,-2320,1280,-7408,-15592,200,Sad
140,34,1,48,-1524,-16408,-2364,1260,-7356,-15576,250,Sad
141,34,1,48,-1316,-16468,-2396,1152,-7416,-15572,250,Sad
142,34,-1,48,-1264,-16500,-2500,-1,-1,-1,250,Sad
143,35,1,48,-1280,-16480,-2456,1180,-7496,-15712,250,Sad
144,35,-1,48,-1968,-16300,-2188,-1,-1,-1,250,Sad
145,-1,1,48,-1,-1,-1,1240,-7332,-15520,250,Sad
146,35,1,48,-2208,-16320,-2252,1184,-7368,-15632,250,Sad
147,35,-1,48,-1664,-16460,-2336,-1,-1,-1,250,Sad
148,-1,1,48,-1,-1,-1,1304,-7448,-15540,250,Sad
149,35,-1,48,-1988,-16408,-2156,-1,-1,-1,250,Sad
150,35,1,48,-1480,-16480,-2380,1196,-7416,-15680,250,Sad
151,-1,1,48,-1,-1,-1,1180,-7468,-15672,250,Sad
152,35,1,44,-2140,-16352,-2316,1300,-7388,-15504,250,Sad
